index,Year,Total,Gold,Silver,Bronze,No medal,Sport,NOC,Sex
8,2024,0,0,0,0,2,Judo,POL,F
0,1972,1,0,1,0,3,Judo,POL,M
1,1976,1,0,0,1,5,Judo,POL,M
2,1980,1,0,0,1,7,Judo,POL,M
3,1988,2,1,1,0,4,Judo,POL,M
4,1992,1,1,0,0,5,Judo,POL,M
5,1996,1,1,0,0,6,Judo,POL,M
6,2000,0,0,0,0,4,Judo,POL,M
7,2004,0,0,0,0,4,Judo,POL,M
8,2008,0,0,0,0,5,Judo,POL,M
9,2012,0,0,0,0,3,Judo,POL,M
10,2016,0,0,0,0,1,Judo,POL,M
11,2020,0,0,0,0,2,Judo,POL,M
12,2024,0,0,0,0,2,Judo,POL,M
0,1992,0,0,0,0,3,Judo,POR,F
1,1996,0,0,0,0,1,Judo,POR,F
2,2000,0,0,0,0,2,Judo,POR,F
3,2004,0,0,0,0,1,Judo,POR,F
4,2008,0,0,0,0,2,Judo,POR,F
5,2012,0,0,0,0,3,Judo,POR,F
6,2016,1,0,0,1,1,Judo,POR,F
7,2020,0,0,0,0,6,Judo,POR,F
8,2024,1,0,0,1,4,Judo,POR,F
0,1964,0,0,0,0,1,Judo,POR,M
1,1972,0,0,0,0,2,Judo,POR,M
2,1976,0,0,0,0,2,Judo,POR,M
3,1980,0,0,0,0,3,Judo,POR,M
4,1984,0,0,0,0,4,Judo,POR,M
5,1988,0,0,0,0,3,Judo,POR,M
6,1992,0,0,0,0,5,Judo,POR,M
7,1996,0,0,0,0,4,Judo,POR,M
8,2000,1,0,0,1,3,Judo,POR,M
9,2004,0,0,0,0,3,Judo,POR,M
10,2008,0,0,0,0,3,Judo,POR,M
11,2012,0,0,0,0,1,Judo,POR,M
12,2016,0,0,0,0,4,Judo,POR,M
13,2020,1,0,0,1,1,Judo,POR,M
14,2024,0,0,0,0,2,Judo,POR,M
0,1992,0,0,0,0,1,Judo,PRK,F
1,1996,1,1,0,0,0,Judo,PRK,F
2,2000,1,0,0,1,2,Judo,PRK,F
3,2004,1,0,1,0,4,Judo,PRK,F
4,2008,2,0,1,1,2,Judo,PRK,F
5,2012,1,1,0,0,0,Judo,PRK,F
6,2016,0,0,0,0,2,Judo,PRK,F
7,2024,0,0,0,0,1,Judo,PRK,F
0,1972,1,0,0,1,0,Judo,PRK,M
1,1976,0,0,0,0,4,Judo,PRK,M
2,1980,0,0,0,0,5,Judo,PRK,M
3,1992,0,0,0,0,2,Judo,PRK,M
4,2000,0,0,0,0,1,Judo,PRK,M
5,2004,0,0,0,0,1,Judo,PRK,M
6,2008,1,0,0,1,2,Judo,PRK,M
7,2016,0,0,0,0,1,Judo,PRK,M
0,1992,0,0,0,0,3,Judo,PUR,F
1,2004,0,0,0,0,1,Judo,PUR,F
2,2012,0,0,0,0,1,Judo,PUR,F
3,2016,0,0,0,0,2,Judo,PUR,F
4,2020,0,0,0,0,2,Judo,PUR,F
5,2024,0,0,0,0,1,Judo,PUR,F
0,1972,0,0,0,0,3,Judo,PUR,M
1,1976,0,0,0,0,6,Judo,PUR,M
2,1984,0,0,0,0,2,Judo,PUR,M
3,1988,0,0,0,0,4,Judo,PUR,M
4,1992,0,0,0,0,1,Judo,PUR,M
5,1996,0,0,0,0,4,Judo,PUR,M
6,2000,0,0,0,0,4,Judo,PUR,M
7,2004,0,0,0,0,2,Judo,PUR,M
8,2008,0,0,0,0,3,Judo,PUR,M
9,2020,0,0,0,0,1,Judo,PUR,M
10,2024,0,0,0,0,1,Judo,PUR,M
0,2016,0,0,0,0,1,Judo,QAT,M
1,2020,0,0,0,0,1,Judo,QAT,M
0,2020,1,0,0,1,10,Judo,ROC,F
0,2020,2,0,0,2,11,Judo,ROC,M
0,2016,0,0,0,0,1,Judo,ROT,F
0,2016,0,0,0,0,1,Judo,ROT,M
0,1992,0,0,0,0,1,Judo,ROU,F
1,1996,0,0,0,0,1,Judo,ROU,F
2,2000,1,0,0,1,2,Judo,ROU,F
3,2004,0,0,0,0,2,Judo,ROU,F
4,2008,1,1,0,0,0,Judo,ROU,F
5,2012,2,0,2,0,1,Judo,ROU,F
6,2016,0,0,0,0,3,Judo,ROU,F
7,2020,0,0,0,0,1,Judo,ROU,F
0,1980,0,0,0,0,8,Judo,ROU,M
1,1984,2,0,0,2,1,Judo,ROU,M
2,1992,0,0,0,0,5,Judo,ROU,M
3,1996,0,0,0,0,4,Judo,ROU,M
4,2000,0,0,0,0,4,Judo,ROU,M
5,2004,0,0,0,0,2,Judo,ROU,M
6,2008,0,0,0,0,1,Judo,ROU,M
7,2012,0,0,0,0,3,Judo,ROU,M
8,2016,0,0,0,0,1,Judo,ROU,M
9,2020,0,0,0,0,2,Judo,ROU,M
10,2024,0,0,0,0,1,Judo,ROU,M
0,2000,0,0,0,0,1,Judo,RSA,F
1,2004,0,0,0,0,1,Judo,RSA,F
2,2020,0,0,0,0,1,Judo,RSA,F
3,2024,0,0,0,0,1,Judo,RSA,F
0,1996,0,0,0,0,1,Judo,RSA,M
1,2008,0,0,0,0,3,Judo,RSA,M
2,2012,0,0,0,0,1,Judo,RSA,M
3,2016,0,0,0,0,1,Judo,RSA,M
0,1996,0,0,0,0,6,Judo,RUS,F
1,2000,1,0,1,0,3,Judo,RUS,F
2,2004,1,0,0,1,3,Judo,RUS,F
3,2008,0,0,0,0,6,Judo,RUS,F
4,2012,0,0,0,0,5,Judo,RUS,F
5,2016,1,0,0,1,4,Judo,RUS,F
0,1996,0,0,0,0,7,Judo,RUS,M
1,2000,2,0,0,2,4,Judo,RUS,M
2,2004,4,0,2,2,3,Judo,RUS,M
3,2008,0,0,0,0,7,Judo,RUS,M
4,2012,5,3,1,1,2,Judo,RUS,M
5,2016,2,2,0,0,5,Judo,RUS,M
0,2012,0,0,0,0,1,Judo,RWA,M
0,2000,0,0,0,0,1,Judo,SAM,M
1,2012,0,0,0,0,1,Judo,SAM,M
2,2016,0,0,0,0,1,Judo,SAM,M
3,2020,0,0,0,0,1,Judo,SAM,M
4,2024,0,0,0,0,1,Judo,SAM,M
0,2000,0,0,0,0,1,Judo,SCG,F
0,1996,0,0,0,0,2,Judo,SCG,M
1,2004,0,0,0,0,1,Judo,SCG,M
0,2000,0,0,0,0,1,Judo,SEN,F
1,2004,0,0,0,0,1,Judo,SEN,F
2,2008,0,0,0,0,3,Judo,SEN,F
3,2012,0,0,0,0,1,Judo,SEN,F
4,2016,0,0,0,0,1,Judo,SEN,F
0,1972,0,0,0,0,6,Judo,SEN,M
1,1976,0,0,0,0,6,Judo,SEN,M
2,1980,0,0,0,0,8,Judo,SEN,M
3,1984,0,0,0,0,6,Judo,SEN,M
4,1988,0,0,0,0,5,Judo,SEN,M
5,1992,0,0,0,0,6,Judo,SEN,M
6,1996,0,0,0,0,2,Judo,SEN,M
7,2008,0,0,0,0,1,Judo,SEN,M
8,2020,0,0,0,0,1,Judo,SEN,M
9,2024,0,0,0,0,1,Judo,SEN,M
0,2000,0,0,0,0,1,Judo,SEY,M
1,2004,0,0,0,0,1,Judo,SEY,M
2,2012,0,0,0,0,1,Judo,SEY,M
3,2016,0,0,0,0,1,Judo,SEY,M
4,2020,0,0,0,0,1,Judo,SEY,M
0,1976,0,0,0,0,1,Judo,SGP,M
1,1992,0,0,0,0,1,Judo,SGP,M
0,2024,0,0,0,0,1,Judo,SLE,F
0,2020,0,0,0,0,1,Judo,SLE,M
0,2004,1,0,0,1,3,Judo,SLO,F
1,2008,1,0,0,1,1,Judo,SLO,F
2,2012,1,1,0,0,4,Judo,SLO,F
3,2016,2,1,0,1,0,Judo,SLO,F
4,2020,1,0,1,0,3,Judo,SLO,F
5,2024,1,1,0,0,4,Judo,SLO,F
0,1992,0,0,0,0,2,Judo,SLO,M
1,2004,0,0,0,0,1,Judo,SLO,M
2,2008,0,0,0,0,3,Judo,SLO,M
3,2012,0,0,0,0,3,Judo,SLO,M
4,2016,0,0,0,0,3,Judo,SLO,M
5,2020,0,0,0,0,1,Judo,SLO,M
6,2024,0,0,0,0,1,Judo,SLO,M
0,1980,0,0,0,0,2,Judo,SMR,M
1,1984,0,0,0,0,2,Judo,SMR,M
2,1988,0,0,0,0,3,Judo,SMR,M
3,1992,0,0,0,0,1,Judo,SMR,M
4,1996,0,0,0,0,1,Judo,SMR,M
5,2020,0,0,0,0,1,Judo,SMR,M
0,2012,0,0,0,0,1,Judo,SOL,M
0,2020,0,0,0,0,3,Judo,SRB,F
1,2024,0,0,0,0,6,Judo,SRB,F
0,2012,0,0,0,0,1,Judo,SRB,M
1,2016,0,0,0,0,1,Judo,SRB,M
2,2020,0,0,0,0,2,Judo,SRB,M
3,2024,0,0,0,0,6,Judo,SRB,M
0,2016,0,0,0,0,1,Judo,SRI,M
1,2020,0,0,0,0,1,Judo,SRI,M
0,2024,0,0,0,0,1,Judo,STP,M
0,1992,0,0,0,0,2,Judo,SUD,M
1,2016,0,0,0,0,1,Judo,SUD,M
2,2020,0,0,0,0,1,Judo,SUD,M
0,1992,0,0,0,0,1,Judo,SUI,F
1,1996,0,0,0,0,1,Judo,SUI,F
2,2000,0,0,0,0,1,Judo,SUI,F
3,2004,0,0,0,0,1,Judo,SUI,F
4,2012,0,0,0,0,1,Judo,SUI,F
5,2016,0,0,0,0,1,Judo,SUI,F
6,2020,0,0,0,0,1,Judo,SUI,F
7,2024,0,0,0,0,1,Judo,SUI,F
0,1964,1,0,1,0,0,Judo,SUI,M
1,1972,0,0,0,0,6,Judo,SUI,M
2,1976,1,0,0,1,1,Judo,SUI,M
3,1980,1,1,0,0,3,Judo,SUI,M
4,1984,0,0,0,0,2,Judo,SUI,M
5,1988,0,0,0,0,2,Judo,SUI,M
6,1992,0,0,0,0,4,Judo,SUI,M
7,2000,0,0,0,0,2,Judo,SUI,M
8,2004,0,0,0,0,1,Judo,SUI,M
9,2008,1,0,0,1,0,Judo,SUI,M
10,2012,0,0,0,0,1,Judo,SUI,M
11,2016,0,0,0,0,2,Judo,SUI,M
12,2020,0,0,0,0,1,Judo,SUI,M
13,2024,0,0,0,0,2,Judo,SUI,M
0,1972,0,0,0,0,1,Judo,SUR,M
1,1976,0,0,0,0,1,Judo,SUR,M
2,1984,0,0,0,0,1,Judo,SUR,M
3,1988,0,0,0,0,1,Judo,SUR,M
4,2016,0,0,0,0,1,Judo,SUR,M
0,1996,0,0,0,0,2,Judo,SVK,M
1,2000,0,0,0,0,1,Judo,SVK,M
2,2004,1,0,1,0,1,Judo,SVK,M
3,2008,0,0,0,0,1,Judo,SVK,M
4,2012,0,0,0,0,1,Judo,SVK,M
5,2024,0,0,0,0,1,Judo,SVK,M
0,1992,0,0,0,0,3,Judo,SWE,F
1,1996,0,0,0,0,1,Judo,SWE,F
2,2000,0,0,0,0,1,Judo,SWE,F
3,2004,0,0,0,0,1,Judo,SWE,F
4,2016,0,0,0,0,1,Judo,SWE,F
5,2020,0,0,0,0,1,Judo,SWE,F
6,2024,1,0,0,1,0,Judo,SWE,F
0,1972,0,0,0,0,1,Judo,SWE,M
1,1976,0,0,0,0,2,Judo,SWE,M
2,1980,0,0,0,0,4,Judo,SWE,M
3,1984,0,0,0,0,4,Judo,SWE,M
4,1988,0,0,0,0,2,Judo,SWE,M
5,1992,0,0,0,0,3,Judo,SWE,M
6,2000,0,0,0,0,1,Judo,SWE,M
7,2012,0,0,0,0,1,Judo,SWE,M
8,2016,0,0,0,0,3,Judo,SWE,M
9,2020,0,0,0,0,3,Judo,SWE,M
10,2024,0,0,0,0,1,Judo,SWE,M
0,1980,0,0,0,0,7,Judo,SYR,M
1,2004,0,0,0,0,1,Judo,SYR,M
2,2016,0,0,0,0,1,Judo,SYR,M
3,2024,0,0,0,0,1,Judo,SYR,M
0,2016,0,0,0,0,1,Judo,TAN,M
1,2024,0,0,0,0,1,Judo,TAN,M
0,1992,0,0,0,0,1,Judo,TCH,F
0,1972,0,0,0,0,2,Judo,TCH,M
1,1976,0,0,0,0,2,Judo,TCH,M
2,1980,1,0,0,1,4,Judo,TCH,M
3,1988,0,0,0,0,3,Judo,TCH,M
4,1992,0,0,0,0,4,Judo,TCH,M
0,2004,0,0,0,0,1,Judo,TGA,M
0,1992,0,0,0,0,2,Judo,THA,F
1,2020,0,0,0,0,1,Judo,THA,F
0,1964,0,0,0,0,3,Judo,THA,M
1,1972,0,0,0,0,1,Judo,THA,M
2,1976,0,0,0,0,1,Judo,THA,M
3,1996,0,0,0,0,1,Judo,THA,M
4,2012,0,0,0,0,1,Judo,THA,M
5,2016,0,0,0,0,1,Judo,THA,M
6,2024,0,0,0,0,1,Judo,THA,M
0,1996,0,0,0,0,3,Judo,TJK,M
1,2008,1,0,0,1,2,Judo,TJK,M
2,2012,0,0,0,0,2,Judo,TJK,M
3,2016,0,0,0,0,2,Judo,TJK,M
4,2020,0,0,0,0,4,Judo,TJK,M
5,2024,2,0,0,2,4,Judo,TJK,M
0,1996,0,0,0,0,2,Judo,TKM,F
1,2000,0,0,0,0,2,Judo,TKM,F
2,2004,0,0,0,0,1,Judo,TKM,F
3,2008,0,0,0,0,1,Judo,TKM,F
4,2012,0,0,0,0,1,Judo,TKM,F
5,2016,0,0,0,0,2,Judo,TKM,F
6,2020,0,0,0,0,1,Judo,TKM,F
7,2024,0,0,0,0,1,Judo,TKM,F
0,2008,0,0,0,0,1,Judo,TKM,M
1,2024,0,0,0,0,1,Judo,TKM,M
0,2000,0,0,0,0,1,Judo,TOG,M
1,2008,0,0,0,0,1,Judo,TOG,M
2,2012,0,0,0,0,1,Judo,TOG,M
0,1992,0,0,0,0,2,Judo,TPE,F
1,1996,0,0,0,0,6,Judo,TPE,F
2,2000,0,0,0,0,3,Judo,TPE,F
3,2004,0,0,0,0,2,Judo,TPE,F
4,2008,0,0,0,0,2,Judo,TPE,F
5,2016,0,0,0,0,1,Judo,TPE,F
6,2020,0,0,0,0,2,Judo,TPE,F
7,2024,0,0,0,0,2,Judo,TPE,F
0,1964,0,0,0,0,4,Judo,TPE,M
1,1972,0,0,0,0,5,Judo,TPE,M
2,1984,0,0,0,0,4,Judo,TPE,M
3,1988,0,0,0,0,5,Judo,TPE,M
4,1996,0,0,0,0,4,Judo,TPE,M
5,2000,0,0,0,0,3,Judo,TPE,M
6,2012,0,0,0,0,1,Judo,TPE,M
7,2016,0,0,0,0,1,Judo,TPE,M
8,2020,1,0,1,0,0,Judo,TPE,M
9,2024,0,0,0,0,1,Judo,TPE,M
0,2020,0,0,0,0,1,Judo,TTO,F
0,2016,0,0,0,0,1,Judo,TTO,M
0,1996,0,0,0,0,2,Judo,TUN,F
1,2000,0,0,0,0,3,Judo,TUN,F
2,2004,0,0,0,0,3,Judo,TUN,F
3,2008,0,0,0,0,4,Judo,TUN,F
4,2012,0,0,0,0,3,Judo,TUN,F
5,2016,0,0,0,0,3,Judo,TUN,F
6,2020,0,0,0,0,3,Judo,TUN,F
7,2024,0,0,0,0,2,Judo,TUN,F
0,1964,0,0,0,0,1,Judo,TUN,M
1,1984,0,0,0,0,3,Judo,TUN,M
2,1992,0,0,0,0,1,Judo,TUN,M
3,1996,0,0,0,0,4,Judo,TUN,M
4,2000,0,0,0,0,6,Judo,TUN,M
5,2004,0,0,0,0,1,Judo,TUN,M
6,2008,0,0,0,0,2,Judo,TUN,M
7,2012,0,0,0,0,1,Judo,TUN,M
8,2016,0,0,0,0,1,Judo,TUN,M
0,1992,1,0,0,1,1,Judo,TUR,F
1,1996,0,0,0,0,2,Judo,TUR,F
2,2000,0,0,0,0,1,Judo,TUR,F
3,2004,0,0,0,0,1,Judo,TUR,F
4,2012,0,0,0,0,1,Judo,TUR,F
5,2016,0,0,0,0,3,Judo,TUR,F
6,2020,0,0,0,0,2,Judo,TUR,F
7,2024,0,0,0,0,6,Judo,TUR,F
0,1976,0,0,0,0,3,Judo,TUR,M
1,1984,0,0,0,0,3,Judo,TUR,M
2,1988,0,0,0,0,4,Judo,TUR,M
3,1992,0,0,0,0,2,Judo,TUR,M
4,1996,0,0,0,0,4,Judo,TUR,M
5,2000,1,1,0,0,1,Judo,TUR,M
6,2004,0,0,0,0,2,Judo,TUR,M
7,2008,0,0,0,0,1,Judo,TUR,M
8,2012,0,0,0,0,1,Judo,TUR,M
9,2016,0,0,0,0,1,Judo,TUR,M
10,2020,0,0,0,0,4,Judo,TUR,M
11,2024,0,0,0,0,10,Judo,TUR,M
0,2024,0,0,0,0,1,Judo,UAE,F
0,2008,0,0,0,0,1,Judo,UAE,M
1,2012,0,0,0,0,1,Judo,UAE,M
2,2016,1,0,0,1,2,Judo,UAE,M
3,2020,0,0,0,0,2,Judo,UAE,M
4,2024,0,0,0,0,5,Judo,UAE,M
0,1996,0,0,0,0,1,Judo,UKR,F
1,2000,0,0,0,0,3,Judo,UKR,F
2,2004,0,0,0,0,2,Judo,UKR,F
3,2008,0,0,0,0,4,Judo,UKR,F
4,2012,0,0,0,0,3,Judo,UKR,F
5,2016,0,0,0,0,3,Judo,UKR,F
6,2020,1,0,0,1,2,Judo,UKR,F
7,2024,0,0,0,0,3,Judo,UKR,F
0,1996,0,0,0,0,2,Judo,UKR,M
1,2000,1,0,0,1,3,Judo,UKR,M
2,2004,1,0,1,0,5,Judo,UKR,M
3,2008,1,0,0,1,4,Judo,UKR,M
4,2012,0,0,0,0,7,Judo,UKR,M
5,2016,0,0,0,0,4,Judo,UKR,M
6,2020,0,0,0,0,4,Judo,UKR,M
7,2024,0,0,0,0,2,Judo,UKR,M
0,1964,4,0,0,4,0,Judo,URS,M
1,1972,4,1,1,2,2,Judo,URS,M
2,1976,5,2,2,1,1,Judo,URS,M
3,1980,5,2,1,2,3,Judo,URS,M
4,1988,5,0,1,4,2,Judo,URS,M
0,1992,0,0,0,0,1,Judo,URU,M
1,1996,0,0,0,0,2,Judo,URU,M
2,2000,0,0,0,0,1,Judo,URU,M
3,2012,0,0,0,0,1,Judo,URU,M
4,2016,0,0,0,0,1,Judo,URU,M
5,2020,0,0,0,0,1,Judo,URU,M
6,2024,0,0,0,0,1,Judo,URU,M
0,1992,0,0,0,0,6,Judo,USA,F
1,1996,0,0,0,0,7,Judo,USA,F
2,2000,0,0,0,0,7,Judo,USA,F
3,2004,0,0,0,0,5,Judo,USA,F
4,2008,1,0,0,1,2,Judo,USA,F
5,2012,2,1,0,1,0,Judo,USA,F
6,2016,1,1,0,0,2,Judo,USA,F
7,2020,0,0,0,0,3,Judo,USA,F
8,2024,0,0,0,0,2,Judo,USA,F
0,1964,1,0,0,1,3,Judo,USA,M
1,1972,0,0,0,0,6,Judo,USA,M
2,1976,1,0,0,1,5,Judo,USA,M
3,1984,2,0,1,1,6,Judo,USA,M
4,1988,2,0,1,1,5,Judo,USA,M
5,1992,1,0,1,0,6,Judo,USA,M
6,1996,1,0,0,1,6,Judo,USA,M
7,2000,0,0,0,0,7,Judo,USA,M
8,2004,1,0,0,1,6,Judo,USA,M
9,2008,0,0,0,0,7,Judo,USA,M
10,2012,0,0,0,0,3,Judo,USA,M
11,2016,1,0,1,0,2,Judo,USA,M
12,2020,0,0,0,0,1,Judo,USA,M
13,2024,0,0,0,0,2,Judo,USA,M
0,2008,0,0,0,0,2,Judo,UZB,F
1,2016,0,0,0,0,1,Judo,UZB,F
2,2020,0,0,0,0,6,Judo,UZB,F
3,2024,1,1,0,0,9,Judo,UZB,F
0,1996,1,0,1,0,6,Judo,UZB,M
1,2000,0,0,0,0,7,Judo,UZB,M
2,2004,0,0,0,0,6,Judo,UZB,M
3,2008,2,0,1,1,4,Judo,UZB,M
4,2012,1,0,0,1,5,Judo,UZB,M
5,2016,2,0,0,2,5,Judo,UZB,M
6,2020,1,0,0,1,12,Judo,UZB,M
7,2024,2,0,0,2,12,Judo,UZB,M
0,2012,0,0,0,0,1,Judo,VAN,M
1,2016,0,0,0,0,1,Judo,VAN,M
2,2020,0,0,0,0,1,Judo,VAN,M
3,2024,0,0,0,0,1,Judo,VAN,M
0,1992,0,0,0,0,2,Judo,VEN,F
1,1996,0,0,0,0,3,Judo,VEN,F
2,2000,0,0,0,0,2,Judo,VEN,F
3,2004,0,0,0,0,4,Judo,VEN,F
4,2008,0,0,0,0,2,Judo,VEN,F
5,2012,0,0,0,0,1,Judo,VEN,F
6,2016,0,0,0,0,1,Judo,VEN,F
7,2020,0,0,0,0,3,Judo,VEN,F
8,2024,0,0,0,0,1,Judo,VEN,F
0,1964,0,0,0,0,1,Judo,VEN,M
1,1976,0,0,0,0,2,Judo,VEN,M
2,1984,0,0,0,0,1,Judo,VEN,M
3,1988,0,0,0,0,2,Judo,VEN,M
4,1992,0,0,0,0,1,Judo,VEN,M
5,2000,0,0,0,0,6,Judo,VEN,M
6,2004,0,0,0,0,5,Judo,VEN,M
7,2008,0,0,0,0,5,Judo,VEN,M
8,2012,0,0,0,0,2,Judo,VEN,M
0,1996,0,0,0,0,1,Judo,VIE,F
1,2012,0,0,0,0,1,Judo,VIE,F
2,2016,0,0,0,0,1,Judo,VIE,F
3,2020,0,0,0,0,1,Judo,VIE,F
4,2024,0,0,0,0,1,Judo,VIE,F
0,1964,0,0,0,0,3,Judo,VNM,M
0,1988,0,0,0,0,2,Judo,YAR,M
0,1992,0,0,0,0,5,Judo,YEM,M
1,2008,0,0,0,0,1,Judo,YEM,M
2,2012,0,0,0,0,1,Judo,YEM,M
3,2016,0,0,0,0,1,Judo,YEM,M
4,2020,0,0,0,0,1,Judo,YEM,M
5,2024,0,0,0,0,1,Judo,YEM,M
0,1972,0,0,0,0,4,Judo,YUG,M
1,1976,1,0,0,1,4,Judo,YUG,M
2,1980,1,0,0,1,5,Judo,YUG,M
3,1984,0,0,0,0,5,Judo,YUG,M
4,1988,0,0,0,0,4,Judo,YUG,M
0,1980,0,0,0,0,6,Judo,ZAM,M
1,1984,0,0,0,0,3,Judo,ZAM,M
2,1992,0,0,0,0,1,Judo,ZAM,M
3,2012,0,0,0,0,1,Judo,ZAM,M
4,2016,0,0,0,0,1,Judo,ZAM,M
5,2020,0,0,0,0,1,Judo,ZAM,M
6,2024,0,0,0,0,1,Judo,ZAM,M
0,1992,0,0,0,0,1,Judo,ZIM,F
0,1980,0,0,0,0,3,Judo,ZIM,M
1,1988,0,0,0,0,2,Judo,ZIM,M
2,1992,0,0,0,0,1,Judo,ZIM,M
0,2020,0,0,0,0,1,Karate,ALG,F
0,2020,0,0,0,0,1,Karate,AUS,M
0,2020,1,0,0,1,0,Karate,AUT,F
0,2020,1,0,1,0,0,Karate,AZE,F
0,2020,1,0,1,0,1,Karate,AZE,M
0,2020,1,1,0,0,0,Karate,BUL,F
0,2020,0,0,0,0,1,Karate,CAN,M
0,2020,2,0,1,1,0,Karate,CHN,F
0,2020,0,0,0,0,1,Karate,CRO,M
0,2020,2,1,0,1,1,Karate,EGY,F
0,2020,0,0,0,0,2,Karate,EGY,M
0,2020,0,0,0,0,2,Karate,EOR,M
0,2020,1,1,0,0,0,Karate,ESP,F
0,2020,1,0,1,0,0,Karate,ESP,M
0,2020,0,0,0,0,2,Karate,FRA,F
0,2020,1,1,0,0,0,Karate,FRA,M
0,2020,0,0,0,0,1,Karate,GEO,M
0,2020,0,0,0,0,1,Karate,GER,F
0,2020,0,0,0,0,3,Karate,GER,M
0,2020,1,0,0,1,0,Karate,HKG,F
0,2020,1,0,0,1,0,Karate,HUN,M
0,2020,0,0,0,0,2,Karate,IRI,F
0,2020,1,1,0,0,0,Karate,IRI,M
0,2020,1,0,0,1,1,Karate,ITA,F
0,2020,1,1,0,0,2,Karate,ITA,M
0,2020,1,0,0,1,0,Karate,JOR,M
0,2020,1,0,1,0,3,Karate,JPN,F
0,2020,2,1,0,1,2,Karate,JPN,M
0,2020,1,0,0,1,1,Karate,KAZ,F
0,2020,1,0,0,1,2,Karate,KAZ,M
0,2020,0,0,0,0,1,Karate,KOR,M
0,2020,1,0,1,0,0,Karate,KSA,M
0,2020,0,0,0,0,1,Karate,KUW,M
0,2020,0,0,0,0,1,Karate,LAT,M
0,2020,0,0,0,0,1,Karate,MAR,F
0,2020,0,0,0,0,1,Karate,MKD,F
0,2020,0,0,0,0,1,Karate,NZL,F
0,2020,0,0,0,0,1,Karate,PER,F
0,2020,1,1,0,0,0,Karate,SRB,F
0,2020,0,0,0,0,1,Karate,SUI,F
0,2020,1,0,0,1,0,Karate,TPE,F
0,2020,0,0,0,0,1,Karate,TPE,M
0,2020,1,0,0,1,3,Karate,TUR,F
0,2020,3,0,1,2,0,Karate,TUR,M
0,2020,1,0,1,0,1,Karate,UKR,F
0,2020,1,0,0,1,0,Karate,UKR,M
0,2020,0,0,0,0,1,Karate,USA,F
0,2020,1,0,0,1,2,Karate,USA,M
0,2020,0,0,0,0,1,Karate,VEN,F
0,2020,0,0,0,0,2,Karate,VEN,M
0,1904,24,12,0,12,0,Lacrosse,CAN,M
1,1908,12,12,0,0,0,Lacrosse,CAN,M
0,1908,12,0,12,0,0,Lacrosse,GBR,M
0,1904,12,0,12,0,0,Lacrosse,USA,M
0,2016,0,0,0,0,1,Modern Pentathlon,ARG,F
0,1948,0,0,0,0,3,Modern Pentathlon,ARG,M
1,1952,0,0,0,0,6,Modern Pentathlon,ARG,M
2,1956,0,0,0,0,1,Modern Pentathlon,ARG,M
3,1960,0,0,0,0,6,Modern Pentathlon,ARG,M
4,2016,0,0,0,0,1,Modern Pentathlon,ARG,M
5,2020,0,0,0,0,1,Modern Pentathlon,ARG,M
6,2024,0,0,0,0,1,Modern Pentathlon,ARG,M
0,2000,0,0,0,0,1,Modern Pentathlon,AUS,F
1,2004,0,0,0,0,1,Modern Pentathlon,AUS,F
2,2008,0,0,0,0,1,Modern Pentathlon,AUS,F
3,2012,0,0,0,0,1,Modern Pentathlon,AUS,F
4,2016,1,1,0,0,0,Modern Pentathlon,AUS,F
5,2020,0,0,0,0,1,Modern Pentathlon,AUS,F
6,2024,0,0,0,0,1,Modern Pentathlon,AUS,F
0,1952,0,0,0,0,1,Modern Pentathlon,AUS,M
1,1956,0,0,0,0,6,Modern Pentathlon,AUS,M
2,1960,0,0,0,0,6,Modern Pentathlon,AUS,M
3,1964,0,0,0,0,6,Modern Pentathlon,AUS,M
4,1968,0,0,0,0,6,Modern Pentathlon,AUS,M
5,1972,0,0,0,0,2,Modern Pentathlon,AUS,M
6,1976,0,0,0,0,2,Modern Pentathlon,AUS,M
7,1980,0,0,0,0,1,Modern Pentathlon,AUS,M
8,1984,0,0,0,0,6,Modern Pentathlon,AUS,M
9,1988,0,0,0,0,1,Modern Pentathlon,AUS,M
10,1992,0,0,0,0,6,Modern Pentathlon,AUS,M
11,1996,0,0,0,0,1,Modern Pentathlon,AUS,M
12,2000,0,0,0,0,1,Modern Pentathlon,AUS,M
13,2004,0,0,0,0,1,Modern Pentathlon,AUS,M
14,2012,0,0,0,0,1,Modern Pentathlon,AUS,M
15,2016,0,0,0,0,1,Modern Pentathlon,AUS,M
16,2020,0,0,0,0,1,Modern Pentathlon,AUS,M
0,1912,0,0,0,0,1,Modern Pentathlon,AUT,M
1,1936,0,0,0,0,2,Modern Pentathlon,AUT,M
2,1960,0,0,0,0,6,Modern Pentathlon,AUT,M
3,1964,0,0,0,0,6,Modern Pentathlon,AUT,M
4,1968,0,0,0,0,6,Modern Pentathlon,AUT,M
5,1972,0,0,0,0,6,Modern Pentathlon,AUT,M
6,1980,0,0,0,0,2,Modern Pentathlon,AUT,M
7,1984,0,0,0,0,6,Modern Pentathlon,AUT,M
8,1988,0,0,0,0,1,Modern Pentathlon,AUT,M
9,2012,0,0,0,0,1,Modern Pentathlon,AUT,M
10,2020,0,0,0,0,1,Modern Pentathlon,AUT,M
0,1924,0,0,0,0,4,Modern Pentathlon,BEL,M
1,1928,0,0,0,0,3,Modern Pentathlon,BEL,M
2,1936,0,0,0,0,3,Modern Pentathlon,BEL,M
